An,Judet,Specie_Pomi,Nr_Pomi,Tone_Totale,Kg_per_Pom
 Anul 2013, Bihor,Meri,668735,23970,22
 Anul 2013, Bihor,Meri,668735,23970,14
 Anul 2013, Bihor,Meri,668735,23970,16
 Anul 2013, Bihor,Meri,668735,2074,18
 Anul 2013, Bihor,Meri,668735,2074,36
 Anul 2013, Bihor,Meri,668735,2074,17
 Anul 2013, Bihor,Meri,668735,2074,22
 Anul 2013, Bihor,Meri,668735,2074,14
 Anul 2013, Bihor,Meri,668735,2074,16
 Anul 2013, Bihor,Meri,668735,4920,18
 Anul 2013, Bihor,Meri,668735,4920,36
 Anul 2013, Bihor,Meri,668735,4920,17
 Anul 2013, Bihor,Meri,668735,4920,22
 Anul 2013, Bihor,Meri,668735,4920,14
 Anul 2013, Bihor,Meri,668735,4920,16
 Anul 2013, Bihor,Meri,668735,1839,18
 Anul 2013, Bihor,Meri,668735,1839,36
 Anul 2013, Bihor,Meri,668735,1839,17
 Anul 2013, Bihor,Meri,668735,1839,22
 Anul 2013, Bihor,Meri,668735,1839,14
 Anul 2013, Bihor,Meri,668735,1839,16
 Anul 2013, Bihor,Meri,668735,1044,18
 Anul 2013, Bihor,Meri,668735,1044,36
 Anul 2013, Bihor,Meri,668735,1044,17
 Anul 2013, Bihor,Meri,668735,1044,22
 Anul 2013, Bihor,Meri,668735,1044,14
 Anul 2013, Bihor,Meri,668735,1044,16
 Anul 2014, Bihor,Meri,616169,14087,19
 Anul 2014, Bihor,Meri,616169,14087,34
 Anul 2014, Bihor,Meri,616169,14087,19
 Anul 2014, Bihor,Meri,616169,14087,36
 Anul 2014, Bihor,Meri,616169,14087,14
 Anul 2014, Bihor,Meri,616169,14087,14
 Anul 2014, Bihor,Meri,616169,20768,19
 Anul 2014, Bihor,Meri,616169,20768,34
 Anul 2014, Bihor,Meri,616169,20768,19
 Anul 2014, Bihor,Meri,616169,20768,36
 Anul 2014, Bihor,Meri,616169,20768,14
 Anul 2014, Bihor,Meri,616169,20768,14
 Anul 2014, Bihor,Meri,616169,2373,19
 Anul 2014, Bihor,Meri,616169,2373,34
 Anul 2014, Bihor,Meri,616169,2373,19
 Anul 2014, Bihor,Meri,616169,2373,36
 Anul 2014, Bihor,Meri,616169,2373,14
 Anul 2014, Bihor,Meri,616169,2373,14
 Anul 2014, Bihor,Meri,616169,7992,19
 Anul 2014, Bihor,Meri,616169,7992,34
 Anul 2014, Bihor,Meri,616169,7992,19
 Anul 2014, Bihor,Meri,616169,7992,36
 Anul 2014, Bihor,Meri,616169,7992,14
 Anul 2014, Bihor,Meri,616169,7992,14
 Anul 2014, Bihor,Meri,616169,1843,19
 Anul 2014, Bihor,Meri,616169,1843,34
 Anul 2014, Bihor,Meri,616169,1843,19
 Anul 2014, Bihor,Meri,616169,1843,36
 Anul 2014, Bihor,Meri,616169,1843,14
 Anul 2014, Bihor,Meri,616169,1843,14
 Anul 2014, Bihor,Meri,616169,945,19
 Anul 2014, Bihor,Meri,616169,945,34
 Anul 2014, Bihor,Meri,616169,945,19
 Anul 2014, Bihor,Meri,616169,945,36
 Anul 2014, Bihor,Meri,616169,945,14
 Anul 2014, Bihor,Meri,616169,945,14
 Anul 2015, Bihor,Meri,644498,15622,21
